Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
CPCA_2D,1,266,0,253,0,0.51252408477842,0.26268093747795707,0.51252408477842,0.0,0.34734116318741326,7.280580282211304,0,0,0,0,0,0
CPCA_2D,2,259,0,260,0,0.49903660886319845,0.24903753698568093,0.49903660886319845,0.0,0.3322634490888648,7.289057970046997,0,0,0,0,0,0
CPCA_2D,3,269,0,250,0,0.5183044315992292,0.2686394838154001,0.5183044315992292,0.0,0.3538677464471895,8.047182083129883,0,0,0,0,0,0
CPCA_2D,4,246,0,273,0,0.47398843930635837,0.22466504059607736,0.47398843930635837,0.0,0.304839623710756,7.569383859634399,0,0,0,0,0,0
CPCA_2D,5,32,200,41,245,0.44787644787644787,0.44351209319656293,0.44787644787644787,0.8298755186721992,0.3690660423021939,7.57356595993042,0,0,0,0,0,0
CPCA_2D,6,41,208,24,245,0.4806949806949807,0.5539100121881578,0.4806949806949807,0.896551724137931,0.4009811688643805,7.184193134307861,0,0,0,0,0,0
CPCA_2D,7,251,0,267,0,0.48455598455598453,0.23479450216901954,0.48455598455598453,0.0,0.3163161303603436,7.155287027359009,0,0,0,0,0,0
CPCA_2D,8,261,0,257,0,0.5038610038610039,0.2538759112118186,0.5038610038610039,0.0,0.33763214892868293,7.414891004562378,0,0,0,0,0,0
CPCA_2D,9,278,0,240,0,0.5366795366795367,0.28802492509056216,0.5366795366795367,0.0,0.3748666110475156,8.50422191619873,0,0,0,0,0,0
CPCA_2D,10,40,205,23,250,0.47297297297297297,0.5537688394831252,0.47297297297297297,0.8991228070175439,0.3910987333564781,8.262877941131592,0,0,0,0,0,0
CPCA_2D_retrained,retrain_2,278,0,240,0,0.5366795366795367,0.28802492509056216,0.5366795366795367,0.0,0.3748666110475156,7.479477882385254,0,0,0,0,0,0
CPCA_3D,1,266,74,179,0,0.6551059730250481,0.793838626572276,0.6551059730250481,0.2924901185770751,0.604123302628978,7.746244192123413,0,0,0,0,0,0
CPCA_3D,2,259,73,187,0,0.6396917148362236,0.7907626774497352,0.6396917148362236,0.28076923076923077,0.5863096401037613,8.668225049972534,0,0,0,0,0,0
CPCA_3D,3,269,76,174,0,0.6647398843930635,0.7964221871370972,0.6647398843930635,0.304,0.6162343991001354,7.858190059661865,0,0,0,0,0,0
CPCA_3D,4,246,91,182,0,0.649325626204239,0.798444168332343,0.649325626204239,0.3333333333333333,0.6090032761016105,8.448166131973267,0,0,0,0,0,0
CPCA_3D,5,276,81,160,1,0.6891891891891891,0.7980880298512878,0.6891891891891891,0.3360995850622407,0.6473449380669993,7.821868181228638,0,0,0,0,0,0
