Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QC_2D,1,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,216.3293616771698,1.0811769438838081,2.726959789825626,8,89.93278901783182,75.9651763436188,0.010805513957971594
QC_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,227.05618453025818,0.7306755582698243,2.772342588111986,10,83.12839588693924,68.46306919888877,0.045436559819897
QC_2D,3,166,175,77,103,0.654510556621881,0.6571869681336042,0.654510556621881,0.6944444444444444,0.6542126330894869,228.11348843574524,1.724118563515027,1.0378908067487091,8,86.00787304654702,37.233272552309046,0.04519009609177375
QC_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,228.56132531166077,0.5738313718111424,1.4621617057489924,4,56.881486719918065,20.055765012197664,0.046128945093788294
QC_2D,5,185,171,72,93,0.6833013435700576,0.6862081742614913,0.6833013435700576,0.7037037037037037,0.6836446103767836,227.35142922401428,0.5369269757618579,1.4189115390190221,8,83.74466015270774,34.34398304450178,0.04032161684044866
QC_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,227.2175488471985,1.6400083174431477,1.6251960498166003,11,96.58489868405843,57.22227512742326,0.04215020944047051
QC_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,227.4573483467102,0.6255874067680226,1.7718790218738547,5,89.09454564984449,65.95151863308452,0.03766622607466166
QC_2D,8,161,183,78,99,0.6602687140115163,0.6612644605377663,0.6602687140115163,0.7011494252873564,0.659689449205194,226.97191834449768,1.9484584629002006,1.787110672212631,4,59.1229020326245,77.9125783127441,0.027127357594686916
QC_2D,9,176,166,72,107,0.6564299424184261,0.6632565420256584,0.6564299424184261,0.6974789915966386,0.6568731099461994,226.13258528709412,1.4480288126336547,2.4522225186892737,6,65.60948682845647,45.64799169000135,0.035808743033786554
QC_2D,10,188,152,75,106,0.6525911708253359,0.6600693472668284,0.6525911708253359,0.6696035242290749,0.6540263565713572,227.79381823539734,1.6178221140362519,1.4644493818026862,6,50.340734895006406,51.404431104048314,0.046860535676296715
QC_2D_retrained,retrain_2,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,222.57350730895996,1.7181164165130185,2.650422742519262,10,87.56394621868834,73.81971736186466,0.04384496842120927
QC_3D,1,78,240,23,180,0.6103646833013435,0.6708891344303063,0.6103646833013435,0.9125475285171103,0.5699482644833579,410.77041006088257,0.7742200828088388,2.9125837630267224,10,51.27848995448673,67.2782080154559,0.046129924203805225
QC_3D,2,69,217,26,209,0.5489443378119002,0.6251391163426666,0.5489443378119002,0.8930041152263375,0.49998810464927307,407.1191465854645,0.9011229177081614,2.6247814483723015,5,65.84713108836407,68.52957940950104,0.04501954601583586
QC_3D,3,62,226,26,207,0.5527831094049904,0.6162218726161313,0.5527831094049904,0.8968253968253969,0.4984978605533587,411.96363377571106,0.9536994761922045,2.717396242489148,6,89.25418286198786,36.42190746070226,0.04647274514744367
QC_3D,4,198,86,180,57,0.54510556621881,0.563423141158266,0.54510556621881,0.3233082706766917,0.5209004741560604,408.9671964645386,0.6462615386958128,2.7066584331175756,9,66.58084245539169,50.03475904584988,0.035829001734042146
QC_3D,5,223,81,162,55,0.5834932821497121,0.5868547366599755,0.5834932821497121,0.3333333333333333,0.5583083146794809,407.4260485172272,1.2658556130927554,1.2399058834619396,5,53.18423837512584,30.627628651895243,0.010205585103422413
QC_3D,6,86,207,19,209,0.5623800383877159,0.679608019939114,0.5623800383877159,0.915929203539823,0.5232021454069278,411.42188572883606,1.1681142816586803,1.1685107548359426,9,83.11568693653601,65.10950875740087,0.04247784938551534
QC_3D,7,71,245,24,181,0.6065259117082533,0.6584326581098199,0.6065259117082533,0.9107806691449815,0.5619550778643957,410.264057636261,1.9186245533388953,1.6258390960576452,6,90.16224523324031,79.19378684686463,0.0339135994738274
QC_3D,8,68,233,28,192,0.5777351247600768,0.6281306687742275,0.5777351247600768,0.89272030651341,0.5309466771399687,408.77133774757385,0.6229486019654933,2.293674457852762,6,93.65215735076018,30.1315078022237,0.012145391660833234
QC_3D,9,70,211,27,213,0.5393474088291746,0.6193195458138087,0.5393474088291746,0.8865546218487395,0.49132278306972926,404.5034680366516,1.5761974859178682,1.9509514304654674,9,54.407607906832226,31.672101990109045,0.042822085570228756
QC_3D,10,236,77,150,58,0.6007677543186181,0.5935227819786212,0.6007677543186181,0.3392070484581498,0.5770434721857481,406.93163895606995,1.5149669522297713,2.2720946846782533,10,86.0191999293223,50.66681830937003,0.03417251928961279
