Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QCC_2D,1,258,3,260,0,0.5009596928982726,0.7514432447253944,0.5009596928982726,0.011406844106463879,0.3406699267907783,4.333872079849243,0.7425418299109803,2.931664639436665,11,85.7347837617867,34.41316599250314,0.027750853563689802
QCC_2D,2,272,10,233,6,0.5412667946257198,0.5789052849622776,0.5412667946257198,0.0411522633744856,0.406734732236089,4.169132471084595,0.7492774994146238,1.6654589530207582,5,91.02723238729936,20.4285249060947,0.02826922371543361
QCC_2D,3,196,103,149,73,0.5738963531669866,0.5763924397947597,0.5738963531669866,0.4087301587301587,0.5624359564432821,4.295725345611572,0.8906046631818626,2.67679927618438,11,87.08420644959116,60.513850253722254,0.018235279527132844
QCC_2D,4,255,17,249,0,0.5220729366602687,0.7581916643816835,0.5220729366602687,0.06390977443609022,0.39021395526090485,4.1458046436309814,1.4334544686110393,2.8688404336850275,8,72.74784398638685,65.20853632678885,0.015298826253677063
QCC_2D,5,278,0,243,0,0.5335892514395394,0.28471748925180795,0.5335892514395394,0.0,0.3713086655824579,4.177090644836426,1.540101280143566,2.981285474344358,11,78.07191889665621,70.9426255507158,0.027745829951942892
QCC_2D,6,294,7,219,1,0.5777351247600768,0.7040582101446835,0.5777351247600768,0.030973451327433628,0.43800304288512415,4.310758829116821,1.9918463850267871,2.3583433990759857,7,87.37985640497212,79.98509380574266,0.03899724790078477
QCC_2D,7,252,19,250,0,0.5201535508637236,0.7591209060112717,0.5201535508637236,0.07063197026022305,0.39143700364247713,4.164973020553589,1.757529356073524,2.3084599559997487,10,94.487449514769,20.54993301102899,0.018055964111755494
QCC_2D,8,260,2,259,0,0.5028790786948176,0.7509606174579048,0.5028790786948176,0.007662835249042145,0.3407397746077074,4.303832530975342,1.5619217400517835,2.1148494893402843,10,58.41055462167708,70.01444657874421,0.0178043528009684
QCC_2D,9,177,166,72,106,0.6583493282149712,0.6649110838748468,0.6583493282149712,0.6974789915966386,0.658820275256279,4.180204629898071,0.858834820498787,1.8304275133686614,6,55.169746831502074,45.89048719085854,0.019196734834465302
QCC_2D,10,294,10,217,0,0.5834932821497121,0.7603659979491494,0.5834932821497121,0.04405286343612335,0.4489519083117398,4.17673659324646,1.0472271444617853,2.7467829158184385,4,84.75982298516055,27.215059194244077,0.01922937106424475
QCC_2D_retrained,retrain_2,282,0,238,1,0.5412667946257198,0.29457404399822823,0.5412667946257198,0.0,0.3815155737959619,4.3341968059539795,1.4842191377711633,2.7637096016413656,6,64.637077429158,24.75118454651755,0.02951291349527524
QCC_3D,1,152,150,113,106,0.5796545105566219,0.5798204763155036,0.5796545105566219,0.5703422053231939,0.5796328302519759,6.454004526138306,1.0838995952135724,1.6267388128607159,10,98.21917093920189,26.872717975188937,0.02257540164269834
QCC_3D,2,209,133,110,69,0.6564299424184261,0.6566851833770312,0.6564299424184261,0.5473251028806584,0.652400189536322,6.606121778488159,1.0958631972002528,1.5374014715085365,8,67.49308471112393,62.49944294467822,0.02471388724571204
QCC_3D,3,186,120,132,83,0.5873320537428023,0.5879177348999783,0.5873320537428023,0.47619047619047616,0.5823352619417062,6.4631593227386475,1.2147340960307393,1.651414670173998,8,51.19877236882658,38.78152128209488,0.0427947259010802
