Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QPCA_2D,1,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,17951.4254822731,1.0811769438838081,2.726959789825626,8,89.93278901783182,75.9651763436188,0.010805513957971594
QPCA_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,19141.914633512497,0.7306755582698243,2.772342588111986,10,83.12839588693924,68.46306919888877,0.045436559819897
QPCA_2D,3,166,175,77,103,0.654510556621881,0.6571869681336042,0.654510556621881,0.6944444444444444,0.6542126330894869,20932.226811647415,1.724118563515027,1.0378908067487091,8,86.00787304654702,37.233272552309046,0.04519009609177375
QPCA_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,19841.328160762787,0.5738313718111424,1.4621617057489924,4,56.881486719918065,20.055765012197664,0.046128945093788294
QPCA_2D,5,185,170,73,93,0.6813819577735125,0.6840946806474576,0.6813819577735125,0.6995884773662552,0.681734390567551,19418.628695249557,0.5369269757618579,1.4189115390190221,8,83.74466015270774,34.34398304450178,0.04032161684044866
QPCA_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,19860.148312330246,1.6400083174431477,1.6251960498166003,11,96.58489868405843,57.22227512742326,0.04215020944047051
QPCA_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,19367.346806764603,0.6255874067680226,1.7718790218738547,5,89.09454564984449,65.95151863308452,0.03766622607466166
QPCA_2D,8,161,183,78,99,0.6602687140115163,0.6612644605377663,0.6602687140115163,0.7011494252873564,0.659689449205194,19309.62427997589,1.9484584629002006,1.787110672212631,4,59.1229020326245,77.9125783127441,0.027127357594686916
QPCA_2D,9,177,166,72,106,0.6583493282149712,0.6649110838748468,0.6583493282149712,0.6974789915966386,0.658820275256279,19755.961908102036,1.4480288126336547,2.4522225186892737,6,65.60948682845647,45.64799169000135,0.035808743033786554
QPCA_2D,10,188,151,76,106,0.6506717850287908,0.6578448699033925,0.6506717850287908,0.6651982378854625,0.6521075292696527,19470.232722997665,1.6178221140362519,1.4644493818026862,6,50.340734895006406,51.404431104048314,0.046860535676296715
