Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
CPCA_2D,1,172,193,70,86,0.7005758157389635,0.7011589260422713,0.7005758157389635,0.7338403041825095,0.7002045739459314,1.006317377090454,0,0,0,0,0,0
CPCA_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,0.8763794898986816,0,0,0,0,0,0
CPCA_2D,3,166,177,75,103,0.6583493282149712,0.6613940634432666,0.6583493282149712,0.7023809523809523,0.6579614894750707,0.8736011981964111,0,0,0,0,0,0
CPCA_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,0.8832120895385742,0,0,0,0,0,0
CPCA_2D,5,186,171,72,92,0.6852207293666027,0.6879362809401036,0.6852207293666027,0.7037037037037037,0.6855689159823998,0.8760595321655273,0,0,0,0,0,0
CPCA_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,0.8877565860748291,0,0,0,0,0,0
CPCA_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,0.8684916496276855,0,0,0,0,0,0
CPCA_2D,8,161,184,77,99,0.6621880998080614,0.6632983992617686,0.6621880998080614,0.7049808429118773,0.6615571465040471,0.8687355518341064,0,0,0,0,0,0
CPCA_2D,9,178,166,72,105,0.6602687140115163,0.6665680957001509,0.6602687140115163,0.6974789915966386,0.6607646044535463,0.870201826095581,0,0,0,0,0,0
CPCA_2D,10,188,152,75,106,0.6525911708253359,0.6600693472668284,0.6525911708253359,0.6696035242290749,0.6540263565713572,0.8941717147827148,0,0,0,0,0,0
CPCA_2D_retrained,1_retrained,172,193,70,86,0.7005758157389635,0.7011589260422713,0.7005758157389635,0.7338403041825095,0.7002045739459314,0,0,0,0,0,0,0
CPCA_3D,1,189,138,125,69,0.6276391554702495,0.6345994759384003,0.6276391554702495,0.5247148288973384,0.6236834101496983,0.8356130123138428,0,0,0,0,0,0
CPCA_3D,2,178,136,107,100,0.6026871401151631,0.6020383272178951,0.6026871401151631,0.5596707818930041,0.6022539923835949,0.8509922027587891,0,0,0,0,0,0
CPCA_3D,3,173,117,135,96,0.5566218809980806,0.5556942246745172,0.5566218809980806,0.4642857142857143,0.5530127875711963,0.8346352577209473,0,0,0,0,0,0
CPCA_3D,4,175,126,140,80,0.5777351247600768,0.5841951934604228,0.5777351247600768,0.47368421052631576,0.5731207226889893,0.8333823680877686,0,0,0,0,0,0
CPCA_3D,5,197,122,121,81,0.6122840690978887,0.6108628304283275,0.6122840690978887,0.5020576131687243,0.6079083061915688,0.8444859981536865,0,0,0,0,0,0
CPCA_3D,6,207,116,110,88,0.6199616122840691,0.6163989891021104,0.6199616122840691,0.5132743362831859,0.6170704553749368,0.83565354347229,0,0,0,0,0,0
CPCA_3D,7,173,130,139,79,0.581573896353167,0.5893499873194792,0.581573896353167,0.483271375464684,0.57756955146382,0.8330440521240234,0,0,0,0,0,0
CPCA_3D,8,180,132,129,80,0.5988483685220729,0.602621390867324,0.5988483685220729,0.5057471264367817,0.5953426868906507,0.8337597846984863,0,0,0,0,0,0
CPCA_3D,9,187,114,124,96,0.5777351247600768,0.5745949849102948,0.5777351247600768,0.4789915966386555,0.5744917182057296,0.8339970111846924,0,0,0,0,0,0
CPCA_3D,10,194,97,130,100,0.5585412667946257,0.552415759387904,0.5585412667946257,0.42731277533039647,0.5536386407274749,0.8335099220275879,0,0,0,0,0,0
CPCA_3D_retrained,1_retrained,189,138,125,69,0.6276391554702495,0.6345994759384003,0.6276391554702495,0.5247148288973384,0.6236834101496983,0,0,0,0,0,0,0
CPCA_4D,1,202,141,122,56,0.6583493282149712,0.6700392140730421,0.6583493282149712,0.5361216730038023,0.6532115514160525,0.8785102367401123,0,0,0,0,0,0
CPCA_4D,2,218,121,122,60,0.6506717850287908,0.6539243236769369,0.6506717850287908,0.49794238683127573,0.6426542150952069,0.8775174617767334,0,0,0,0,0,0
CPCA_4D,3,214,117,135,55,0.6353166986564299,0.6456125976783451,0.6353166986564299,0.4642857142857143,0.6245167107983588,0.8935089111328125,0,0,0,0,0,0
CPCA_4D,4,200,133,133,55,0.6391554702495201,0.6551516395719443,0.6391554702495201,0.5,0.6320913781562749,0.8769149780273438,0,0,0,0,0,0
CPCA_4D,5,220,111,132,58,0.6353166986564299,0.6398340696657543,0.6353166986564299,0.4567901234567901,0.6239839220011778,0.8813872337341309,0,0,0,0,0,0
CPCA_4D,6,228,117,109,67,0.6621880998080614,0.6589080450519542,0.6621880998080614,0.5176991150442478,0.6561103015729007,0.8948309421539307,0,0,0,0,0,0
CPCA_4D,7,208,121,148,44,0.6314779270633397,0.6612334390073827,0.6314779270633397,0.44981412639405205,0.6188415438323379,0.8942732810974121,0,0,0,0,0,0
CPCA_4D,8,207,132,129,53,0.6506717850287908,0.6648859855193828,0.6506717850287908,0.5057471264367817,0.6431809988257937,0.877342939376831,0,0,0,0,0,0
CPCA_4D,9,232,120,118,51,0.6756238003838771,0.6806259410522466,0.6756238003838771,0.5042016806722689,0.6662219185470101,0.9029009342193604,0,0,0,0,0,0
