Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QC_2D,1,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,176.04746985435486,0.9481023185283433,2.5998939527916667,5,93.57210223522767,76.41356331191469,0.011665766317473198
QC_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,180.2168607711792,1.4024042312811216,1.2430527581998851,6,71.38532552324259,25.957683988524657,0.03580882117459922
QC_2D,3,166,175,77,103,0.654510556621881,0.6571869681336042,0.654510556621881,0.6944444444444444,0.6542126330894869,182.50150060653687,0.97549279006692,2.928180856390777,11,54.84452996193696,50.92861503321229,0.021444527245899483
QC_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,184.05381226539612,1.0269170623299113,1.9379595082247183,6,76.51543938983441,68.4997224122403,0.04850540231187347
QC_2D,5,185,171,72,93,0.6833013435700576,0.6862081742614913,0.6833013435700576,0.7037037037037037,0.6836446103767836,182.74876642227173,1.7409485340852298,2.8764232209162492,9,70.64383076751758,78.95232393624936,0.04052559110091498
QC_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,183.1551821231842,1.3830666914870542,1.7106013166989724,8,55.02449132667908,26.86656559414608,0.04780322449721361
QC_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,182.5269012451172,1.6055636275879097,1.3747485598735176,6,68.21667642258875,24.83034586235418,0.010956129904428914
QC_2D,8,161,183,78,99,0.6602687140115163,0.6612644605377663,0.6602687140115163,0.7011494252873564,0.659689449205194,182.37779903411865,1.7276987004462845,1.38636397792655,5,63.72886404237495,20.719191271953996,0.02472564296473804
QC_2D,9,176,166,72,107,0.6564299424184261,0.6632565420256584,0.6564299424184261,0.6974789915966386,0.6568731099461994,180.53116726875305,1.9873447454043327,2.3231836436011726,8,74.0221698781375,36.62341537606537,0.029266675223216236
QC_2D,10,188,152,75,106,0.6525911708253359,0.6600693472668284,0.6525911708253359,0.6696035242290749,0.6540263565713572,181.63574123382568,1.1470855828403381,1.2725281132896904,11,54.3574766625929,78.65825818848681,0.01431898659352452
QC_2D_retrained,1_retrained,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,0,0.5726443189999257,2.645829667501573,6,64.78891314981335,47.79068914579244,0.014860398810722968
QC_3D,1,78,240,23,180,0.6103646833013435,0.6708891344303063,0.6103646833013435,0.9125475285171103,0.5699482644833579,328.27596735954285,0.6769470698610883,2.4737628173583817,6,73.7796297261727,32.112204721479785,0.019945552323588606
