Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QCC_2D,1,166,144,109,100,0.5973025048169557,0.5970688788768955,0.5973025048169557,0.5691699604743083,0.5970059599133519,2.41070294380188,1.8776590479025232,2.8493949910194143,7,68.67708364786901,45.70567581864277,0.022649730733292024
QCC_2D,2,162,139,121,97,0.5799614643545279,0.5807265458945643,0.5799614643545279,0.5346153846153846,0.5790989878945965,2.2044670581817627,1.7169764975665442,1.851651244905963,4,52.15072077456719,38.426197599915184,0.0288067844832006
QCC_2D,3,102,200,50,167,0.581888246628131,0.6103139497323422,0.581888246628131,0.8,0.563432269063862,3.320564031600952,0.838906697321268,1.0938529023198713,6,54.9609233495347,58.29383383157991,0.01357175937876248
QCC_2D,4,90,209,64,156,0.5761078998073218,0.5782018915441989,0.5761078998073218,0.7655677655677655,0.557923061590592,3.195575714111328,1.2263776064831373,1.4614796147969582,8,87.90459979662128,70.57622463842128,0.024218630538557016
QCC_2D,5,100,186,55,177,0.5521235521235521,0.5833924338323165,0.5521235521235521,0.7717842323651453,0.5341142940480689,3.034148931503296,1.0595835584460083,2.6134436748275633,10,88.02874017732736,78.47517752350501,0.033589528756121326
QCC_2D,6,107,173,59,179,0.5405405405405406,0.5760079630561559,0.5405405405405406,0.7456896551724138,0.5267550857925448,2.2843470573425293,1.0723515923313394,1.817046051496213,5,93.36947705535896,73.94775655051652,0.03495311585623702
QCC_2D,7,86,199,68,165,0.5501930501930502,0.5523911416768559,0.5501930501930502,0.7453183520599251,0.5309003970388017,3.1675331592559814,0.9417375787179517,1.8091146965471734,9,50.539456017814146,28.678182058884392,0.021576977912028412
QCC_2D,8,169,142,115,92,0.6003861003861004,0.6009085815423845,0.6003861003861004,0.5525291828793775,0.5994587279327278,2.2675299644470215,1.9360784759089495,1.8589850778836865,10,75.08574629634177,43.119973040200286,0.04913350501039729
QCC_2D,9,191,140,100,87,0.638996138996139,0.6380018824271516,0.638996138996139,0.5833333333333334,0.6380954056766839,2.928378105163574,0.596727250029135,1.4822235177042569,5,79.92939300959064,34.14622429080884,0.019662233083938704
QCC_2D,10,290,0,228,0,0.5598455598455598,0.31342705087878836,0.5598455598455598,0.0,0.4018693375129019,2.259251832962036,0.9094513138847127,2.33257949011304,8,85.34806675433508,69.85025909015329,0.01460354551882254
QCC_2D_retrained,9_retrained,191,140,100,87,0.638996138996139,0.6380018824271516,0.638996138996139,0.5833333333333334,0.6380954056766839,0,1.0147109443838827,2.9610002606449326,9,76.35820478581499,49.844514112227486,0.031757182666132026
QCC_3D,1,28,246,7,238,0.5279383429672447,0.6577859520056052,0.5279383429672447,0.9723320158102767,0.42077821672655674,1.843794822692871,1.500979346565732,2.269464931609874,8,56.42303896854899,51.694951500016245,0.028312932334461464
QCC_3D,2,29,250,10,230,0.5375722543352601,0.6319969369102317,0.5375722543352601,0.9615384615384616,0.4356167083792486,2.7532200813293457,1.2854832194238246,1.1601720342893589,6,91.92202015844924,73.17232592342125,0.031164078674685076
QCC_3D,3,28,245,5,241,0.5260115606936416,0.6826035276045981,0.5260115606936416,0.98,0.4168034915092314,1.8867199420928955,1.0104378263760827,2.9832290019757863,6,55.35558711893793,22.011419011341935,0.04997643502429654
QCC_3D,4,24,267,6,222,0.5606936416184971,0.6663995177133941,0.5606936416184971,0.978021978021978,0.4510550468700837,2.056011915206909,0.6596935547393727,2.215803037803542,9,94.23476509712536,46.009816763411294,0.04435227372287422
QCC_3D,5,255,7,234,22,0.5057915057915058,0.3911588157410032,0.5057915057915058,0.029045643153526972,0.3801580767638209,1.8252809047698975,1.897323751045528,2.742649295902135,5,69.58102222745083,47.220185618011946,0.027504227033450714
QCC_3D,6,37,228,4,249,0.5115830115830116,0.7123371481401854,0.5115830115830116,0.9827586206896551,0.4130013292679407,1.9685678482055664,0.9561344800286635,2.6251638888745266,6,84.43991086010564,63.554738372842166,0.028945482861671493
QCC_3D,7,26,263,4,225,0.5579150579150579,0.697739044665274,0.5579150579150579,0.9850187265917603,0.4487727656684316,1.8747649192810059,0.6838390418949265,1.5091047656558907,6,51.727161764558524,23.161049377911556,0.027844737801980338
QCC_3D,8,28,255,2,233,0.5463320463320464,0.7295232293183113,0.5463320463320464,0.9922178988326849,0.43660171820415367,1.9507358074188232,1.4518562009757956,1.3894646803963437,10,90.20634567370993,29.444885207906943,0.03149423185644484
QCC_3D,9,277,0,240,1,0.5347490347490348,0.2875439683950322,0.5347490347490348,0.0,0.3739880041766834,2.127124071121216,1.1385993128568987,2.445439301414284,6,51.14584359175934,49.42558170635274,0.04830249806505173
QCC_3D,10,256,6,222,34,0.5057915057915058,0.3658567712961018,0.5057915057915058,0.02631578947368421,0.39293878099848245,2.0008888244628906,1.933931810834482,2.5025275377442306,7,78.71229652279419,59.02984194135954,0.0386868164889736
QCC_3D_retrained,4_retrained,24,267,6,222,0.5606936416184971,0.6663995177133941,0.5606936416184971,0.978021978021978,0.4510550468700837,0,1.9134319738012588,1.982413605330231,8,93.42689869651925,61.38780257459885,0.03629275590835408
QCC_4D,1,37,244,9,229,0.5414258188824663,0.6637151245589734,0.5414258188824663,0.9644268774703557,0.4492299607906544,3.2079129219055176,1.898156680173546,1.5529133173490648,10,67.37784342401632,68.48499226169443,0.04888949309073407
QCC_4D,2,1,259,1,258,0.5009633911368016,0.5004844907070956,0.5009633911368016,0.9961538461538462,0.3377996294081604,3.237172842025757,0.9607514410066312,1.3159150360388245,8,51.164781546890545,37.48889819731134,0.025900111711491133
QCC_4D,3,265,0,250,4,0.5105973025048169,0.26670033858989467,0.5105973025048169,0.0,0.35038437340254014,3.0646591186523438,1.224849601044902,1.5579779194376262,10,94.9902130026567,69.05603303347007,0.04651071274847023
QCC_4D,4,25,267,6,221,0.5626204238921002,0.6700460501982313,0.5626204238921002,0.978021978021978,0.4546641467871413,3.055722713470459,1.7572674173683196,1.6106188961617471,9,85.87640064890454,33.06513110775041,0.023247736540288
QCC_4D,5,28,234,7,249,0.5057915057915058,0.6532003165543538,0.5057915057915058,0.970954356846473,0.3967229326345348,3.0242600440979004,1.0783814754344303,1.3618310873116153,11,70.71494121348863,38.15813902670706,0.03254700386567124
QCC_4D,6,41,228,4,245,0.5193050193050193,0.7189356073077003,0.5193050193050193,0.9827586206896551,0.4264701509928739,3.0038158893585205,0.5530627103477644,2.5748850547244757,9,65.2430412505165,56.095248349171605,0.018828150390255413
QCC_4D,7,6,267,0,245,0.527027027027027,0.7533519847972973,0.527027027027027,1.0,0.3759590772123052,2.790390968322754,0.700639775516098,2.7695453246982984,10,95.53272089742887,32.39337146135566,0.025422862650779563
QCC_4D,8,29,255,2,232,0.5482625482625483,0.7311391483081223,0.5482625482625483,0.9922178988326849,0.44017725983037514,2.749082088470459,0.9616483336702237,2.8912474942339914,4,71.88790737130327,50.40459243381973,0.020936817730973823
QCC_4D,9,278,0,240,0,0.5366795366795367,0.28802492509056216,0.5366795366795367,0.0,0.3748666110475156,2.9370479583740234,1.5849784790600157,1.6015948147771892,4,65.86951935354602,34.00890956896806,0.0376037159164473
QCC_4D,10,39,222,6,251,0.5038610038610039,0.691783598760343,0.5038610038610039,0.9736842105263158,0.40913750910131347,2.9453959465026855,0.9521574081195072,2.5407498710032352,7,93.77806887716805,35.60755324642496,0.012254140984047694
QCC_4D_retrained,4_retrained,25,267,6,221,0.5626204238921002,0.6700460501982313,0.5626204238921002,0.978021978021978,0.4546641467871413,0,0.7408348717020492,1.593499009769502,9,89.61765138775871,25.79966338591285,0.018494472312203886
QCC_5D,1,11,252,1,255,0.5067437379576107,0.7121094655554415,0.5067437379576107,0.9960474308300395,0.36383296161975187,13.073151111602783,0.8445400131521393,2.6628950347042863,8,80.12309645087294,67.87803127338918,0.021156623000229746
QCC_5D,2,258,10,250,1,0.5163776493256262,0.7088689912184519,0.5163776493256262,0.038461538461538464,0.372698834569116,13.626091957092285,1.7239335606390134,2.771338215402178,7,83.01224868179997,56.79071013774469,0.04750255022333278
QCC_5D,3,264,13,237,5,0.5337186897880539,0.621009746723637,0.5337186897880539,0.052,0.40214041271758466,13.329183101654053,0.6635191899550781,1.6401674761795648,8,67.1465385298824,20.87157486990096,0.03461294668470184
QCC_5D,4,24,266,7,222,0.558766859344894,0.6536782080007825,0.558766859344894,0.9743589743589743,0.44985942561345976,13.171303987503052,1.59401765048411,1.9160824767706461,11,70.50379231856934,55.768041400252194,0.011472204916716243
QCC_5D,5,266,6,235,11,0.525096525096525,0.44812487221786274,0.525096525096525,0.024896265560165973,0.387303444157632,13.016510009765625,1.3665159550237034,1.9544447763878814,4,64.13644190622644,76.10523842025646,0.03095255840731214
QCC_5D,6,41,225,7,245,0.5135135135135135,0.6860144719187272,0.5135135135135135,0.9698275862068966,0.4226515783402011,12.865400791168213,1.085721364735324,1.0830387257270453,8,83.92671289058148,66.02433481064045,0.02612862741011618
QCC_5D,7,0,267,0,251,0.5154440154440154,0.2656825330570504,0.5154440154440154,1.0,0.35063325381796717,12.861157178878784,1.159735729891514,1.957213185042496,5,75.70487469502314,34.480069943863654,0.04264937961525579
QCC_5D,8,28,252,5,233,0.5405405405405406,0.685306112110236,0.5405405405405406,0.980544747081712,0.43297359739408253,13.57268500328064,1.415447757732225,1.7920660178964873,7,59.336001515531976,41.771691260255295,0.025696804647921713
QCC_5D,9,278,0,240,0,0.5366795366795367,0.28802492509056216,0.5366795366795367,0.0,0.3748666110475156,13.65854287147522,1.039534809636064,1.7646522233276971,5,76.48652005596531,33.28086380853026,0.020596480124022445
QCC_5D,10,250,19,209,40,0.5193050193050193,0.4466714257342373,0.5193050193050193,0.08333333333333333,0.4320069663779977,13.222420930862427,1.5520957001387519,2.675854500946258,10,78.44808576945404,38.137494235732845,0.018003841576648246
QCC_5D_retrained,4_retrained,8,269,4,238,0.5337186897880539,0.5950792945012598,0.5337186897880539,0.9853479853479854,0.3922077340144285,0,1.839983758682108,1.5813553916047833,11,69.7178436217023,22.208267517996912,0.015183371909135986
QCC_6D,1,141,175,78,125,0.6088631984585742,0.6143422106087401,0.6088631984585742,0.691699604743083,0.6065327549214917,18.388450860977173,1.0825882024772961,1.692170747160562,7,62.62253475766129,47.25157615843122,0.03552129976597979
QCC_6D,2,38,224,36,221,0.5048169556840078,0.5084323786018922,0.5048169556840078,0.8615384615384616,0.43223693500412236,18.442569971084595,1.4816740478750676,2.8425671802667316,5,78.74657905308801,65.82597361597243,0.021760233980616682
QCC_6D,3,269,3,247,0,0.5240847784200385,0.7518969096802139,0.5240847784200385,0.012,0.36664371757944225,18.175293922424316,0.8596358410995615,2.7057081707782205,8,83.27789576916936,78.44794936884654,0.03536365971896113
QCC_6D,4,152,154,119,94,0.5895953757225434,0.5924895054469843,0.5895953757225434,0.5641025641025641,0.5896715580055872,18.611244201660156,1.6696703548489809,2.6440793968028142,9,98.00170640059443,20.068766952919084,0.010595691382819825
QCC_6D,5,173,126,115,104,0.5772200772200772,0.5760973900919554,0.5772200772200772,0.5228215767634855,0.5763987134484851,18.63516902923584,0.8502091708845985,1.3862834324195537,11,66.96150480238529,77.13047240250407,0.048200729201800484
QCC_6D,6,274,11,221,12,0.5501930501930502,0.5198216850390763,0.5501930501930502,0.04741379310344827,0.4260458351593397,19.213425874710083,1.6969947673844654,2.178246378183775,8,58.08281546809796,48.246012389883546,0.043199651155136194
QCC_6D,7,165,144,123,86,0.5965250965250966,0.6003229743718873,0.5965250965250966,0.5393258426966292,0.5953548094968044,18.76307702064514,1.7285921683189505,1.3724692953083508,10,55.478584326644295,38.9379503769769,0.026939584479986525
QCC_6D,8,230,90,167,31,0.6177606177606177,0.6609384030954903,0.6177606177606177,0.35019455252918286,0.5884999198069107,18.54548192024231,1.7688293384091383,1.3864253652062524,6,90.67219383554536,74.01263267516202,0.03546041802507248
QCC_6D,9,192,140,100,86,0.640926640926641,0.6398978511961904,0.640926640926641,0.5833333333333334,0.639942507934376,18.867889165878296,1.1786362902047025,2.2037883442597903,4,55.98380576058028,25.59390176534272,0.03153185179600466
QCC_6D,10,154,116,112,136,0.5212355212355212,0.5267318876341432,0.5212355212355212,0.5087719298245614,0.522871586900364,18.680673122406006,1.6828569785083873,2.444584978832869,6,87.37795567467535,35.65887751066602,0.04821072904873609
QCC_6D_retrained,9_retrained,192,140,100,86,0.640926640926641,0.6398978511961904,0.640926640926641,0.5833333333333334,0.639942507934376,0,1.530203503866173,1.9831679300707727,9,86.00196281212769,62.28134846355733,0.04465722725189427
QCC_7D,1,215,119,134,51,0.6435452793834296,0.6569714736847917,0.6435452793834296,0.47035573122529645,0.6326274019924637,26.15912890434265,1.9327243488157744,1.8174405148498638,4,68.50308603879724,65.79492908654868,0.03925513640894952
QCC_7D,2,258,20,240,1,0.535645472061657,0.7356450298855758,0.535645472061657,0.07692307692307693,0.41147385315866,24.686894178390503,1.6923083375892276,2.117393169692461,10,66.47234967500864,31.057273702077417,0.014147377439163084
QCC_7D,3,267,11,239,2,0.535645472061657,0.6810812124961408,0.535645472061657,0.044,0.3974223987434913,24.431209087371826,1.8720488409939957,1.2978576257024639,7,94.09185844592167,29.626172440387922,0.019030892991088143
QCC_7D,4,106,205,68,140,0.5992292870905588,0.6013091720035936,0.5992292870905588,0.7509157509157509,0.5882233784697447,24.879173040390015,0.740951905326847,2.969270605302601,11,64.87807311894817,34.551512986007126,0.02837896914913851
QCC_7D,5,174,133,108,103,0.5926640926640927,0.5921480506316424,0.5926640926640927,0.5518672199170125,0.5923509253917327,178.97424793243408,0.5220198896006252,1.7466903512353793,5,64.3753723964284,40.97465254144555,0.03424475579995658
QCC_7D,6,104,172,60,182,0.5328185328185329,0.5677394160238312,0.5328185328185329,0.7413793103448276,0.5181210074042839,26.798065185546875,0.7563652985630649,1.423889399643502,6,63.233230355412985,61.18470046445104,0.04453089812937572
QCC_7D,7,245,23,244,6,0.5173745173745173,0.6515738743367261,0.5173745173745173,0.08614232209737828,0.40095742460607325,24.717593908309937,0.9468662771177812,2.6589921165938146,11,66.51440759488614,25.329927576038823,0.029667198219065126
QCC_7D,8,122,173,84,139,0.5694980694980695,0.5735058313941809,0.5694980694980695,0.6731517509727627,0.5649536457370179,27.07518720626831,1.9831960330399592,1.5241330557114723,8,76.96418692696166,26.72243752756379,0.03983066166465148
QCC_7D,9,275,83,157,3,0.6911196911196911,0.7887944007130053,0.6911196911196911,0.3458333333333333,0.651661586164308,25.145419120788574,1.3538330939999548,2.592157972569941,4,72.18676770614411,52.027644634787094,0.028806603969883188
QCC_7D,10,188,106,122,102,0.5675675675675675,0.5638287170545235,0.5675675675675675,0.4649122807017544,0.564856599718985,24.51310110092163,1.8793450000627328,1.5590219897694262,8,90.1072939732274,72.79909156127209,0.01916693883331799
QCC_7D_retrained,9_retrained,277,79,161,1,0.6872586872586872,0.79693587912766,0.6872586872586872,0.32916666666666666,0.6440165225081427,0,1.2953059577306292,2.2854697489179014,8,52.78754255538355,40.09901243424864,0.0298890648902993
QCC_8D,1,137,147,106,129,0.5472061657032755,0.548587819247207,0.5472061657032755,0.5810276679841897,0.5468193938280754,32.77091979980469,1.7202013835438532,2.9843661009041487,6,91.24014572123056,32.73248105064272,0.022968259027844176
QCC_8D,2,122,181,79,137,0.5838150289017341,0.5880373824338155,0.5838150289017341,0.6961538461538461,0.5784585335989725,33.17701005935669,1.945940419253883,1.282082635436122,11,58.72347865944098,74.50357960220033,0.04303852257825779
