Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QPCA_2D,1,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,17588.941519498825,0.9785338395416372,1.3081355696904864,10,68.8289334579289,72.13661457318787,0.022528067461518454
QPCA_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,19030.259189128876,1.5423715337757236,1.7683546158249028,11,82.83584755541473,71.67931597322811,0.04674058430304034
QPCA_2D,3,166,175,77,103,0.654510556621881,0.6571869681336042,0.654510556621881,0.6944444444444444,0.6542126330894869,19109.366190195084,0.7049148673888481,2.5109745898254827,5,83.30354802402401,49.49479327163112,0.01532979324812879
QPCA_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,19671.275150299072,1.448984019640474,1.4211672371716173,4,85.89094979759014,29.71386134463081,0.042642367365460156
QPCA_2D,5,185,170,73,93,0.6813819577735125,0.6840946806474576,0.6813819577735125,0.6995884773662552,0.681734390567551,19255.664513349533,1.1996533361624195,2.541814823828364,11,51.50281542042777,53.71995115701208,0.04179128608065182
QPCA_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,19113.854546308517,0.5164605112574805,2.628520669600473,11,73.86181125316017,74.96919029989881,0.030308308701937757
QPCA_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,17937.43528699875,1.9935747129843713,2.0507874759834945,9,97.94155130099111,62.29317622008568,0.032312731019812906
QPCA_2D,8,161,183,78,99,0.6602687140115163,0.6612644605377663,0.6602687140115163,0.7011494252873564,0.659689449205194,20020.614528894424,1.697811240341095,2.235034147607724,5,91.39270375960919,78.84372062968785,0.03547124295417624
QPCA_2D,9,177,166,72,106,0.6583493282149712,0.6649110838748468,0.6583493282149712,0.6974789915966386,0.658820275256279,20701.047289848328,1.9542858806172223,1.7205135021533153,11,94.68999350492089,44.38569755514854,0.012104909476039531
QPCA_2D,10,188,151,76,106,0.6506717850287908,0.6578448699033925,0.6506717850287908,0.6651982378854625,0.6521075292696527,21224.070388555527,0.9734643832392941,2.36983782125931,6,52.89562242720988,57.9879232871287,0.017392308490497582
QPCA_2D_retrained,1_retrained,172,192,71,86,0.6986564299424184,0.6991508094441486,0.6986564299424184,0.7300380228136882,0.6983228897362606,0,0.5967586785271797,2.194107329070463,4,72.90569682502594,58.948977257233565,0.045358056496204634
QPCA_3D,1,172,81,182,86,0.4856046065259117,0.4854487647886504,0.4856046065259117,0.30798479087452474,0.4685284621369862,32642.668085813522,1.6356247467962763,2.0769960871679185,4,64.99323828759174,20.071587032509214,0.03390309235054458
QPCA_3D,2,206,68,175,72,0.525911708253359,0.5150446885118246,0.525911708253359,0.27983539094650206,0.49921293220258667,33187.68451333046,0.603866369853771,2.122411423920796,7,80.68397266219364,53.50375029132278,0.01955934039633924
