Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QPCA_10pct_2D,2,46,22,30,6,0.6538461538461539,0.6954887218045112,0.6538461538461539,0.4230769230769231,0.6343749999999999,156.00679993629456,0.8390497951829781,2.1021019065898647,5,55.402227968820355,48.70946420643135,0.033422549151732074
QPCA_10pct_3D,3,46,22,30,6,0.6538461538461539,0.6954887218045112,0.6538461538461539,0.4230769230769231,0.6343749999999999,299.3552839756012,1.3120616313611575,1.1720643140658864,6,91.62085917051263,78.52838169884132,0.02896657185087946
QPCA_10pct_4D,4,49,24,28,3,0.7019230769230769,0.7626262626262628,0.7019230769230769,0.46153846153846156,0.6836424295947404,547.4916770458221,0.6000408221081732,1.0961846208240709,5,91.00337510278247,22.494737590795626,0.0299251977419217
QPCA_10pct_5D,5,49,23,29,3,0.6923076923076923,0.7564102564102563,0.6923076923076923,0.4423076923076923,0.6717948717948719,854.6131219863892,1.5339656181540353,1.5046238541393742,9,82.64748290689211,29.235170586974302,0.04908126706180704
QPCA_10pct_6D,6,49,27,25,3,0.7307692307692307,0.7810810810810811,0.7307692307692307,0.5192307692307693,0.7181571815718156,1231.659954071045,1.3171583404741831,1.2713766355845586,10,68.24112351038994,58.457931685925466,0.028647263645102276
QPCA_10pct_7D,7,47,34,18,5,0.7788461538461539,0.7974358974358975,0.7788461538461539,0.6538461538461539,0.7753357753357754,1615.0453951358795,0.7849042046863414,2.403476547754514,9,66.86514182337432,76.49461116403603,0.03118855864433471
QPCA_10pct_8D,8,47,35,17,5,0.7884615384615384,0.8046875,0.7884615384615384,0.6730769230769231,0.7856071964017991,2190.633383989334,1.5985826698963324,2.8482154318225588,8,88.32636581108136,62.12644724682755,0.02325408874945268
QPCA_10pct_9D,9,48,31,21,4,0.7596153846153846,0.7906832298136646,0.7596153846153846,0.5961538461538461,0.753016053956493,3137.2665832042694,1.5134943533106096,1.7918744523918997,4,83.80525129071759,38.43433771086323,0.02480098096571264
QPCA_10pct_10D,10,49,30,22,3,0.7596153846153846,0.7996158770806657,0.7596153846153846,0.5769230769230769,0.7513151602104257,5183.469851016998,1.3257076656544107,2.580029683119764,5,79.2271556629729,78.15930873705074,0.025113568549087466
QPCA_20pct_2D,2,92,38,66,12,0.625,0.6711392405063291,0.625,0.36538461538461536,0.5978982849211857,732.3150670528412,1.8294323246835764,1.3027423425265499,10,98.28194876334001,43.613320166378934,0.015228692943590291
QPCA_20pct_3D,3,92,38,66,12,0.625,0.6711392405063291,0.625,0.36538461538461536,0.5978982849211857,1395.5058069229126,1.5075632888660913,2.458619600954412,10,81.60096042112183,63.56667556067821,0.02467845628028802
QPCA_20pct_4D,4,94,37,67,10,0.6298076923076923,0.685542487115105,0.6298076923076923,0.3557692307692308,0.5997500937148569,2368.276612997055,0.7208406116157755,1.4131620324435616,7,87.26073713454173,33.933481454080585,0.02621301442587813
