Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
SVC_2D,1,172,193,70,86,0.7005758157389635,0.7011589260422713,0.7005758157389635,0.7338403041825095,0.7002045739459314,0.8667116165161133,0,0,0,0,0,0
SVC_2D,2,162,180,63,116,0.6564299424184261,0.6678124189448565,0.6564299424184261,0.7407407407407407,0.6552209963363552,0.872671365737915,0,0,0,0,0,0
SVC_2D,3,166,177,75,103,0.6583493282149712,0.6613940634432666,0.6583493282149712,0.7023809523809523,0.6579614894750707,0.8588006496429443,0,0,0,0,0,0
SVC_2D,4,165,187,79,90,0.6756238003838771,0.6756478537627266,0.6756238003838771,0.7030075187969925,0.6753340900597036,0.8740754127502441,0,0,0,0,0,0
SVC_2D,5,186,171,72,92,0.6852207293666027,0.6879362809401036,0.6852207293666027,0.7037037037037037,0.6855689159823998,0.9148235321044922,0,0,0,0,0,0
SVC_2D,6,197,166,60,98,0.6967370441458733,0.7067840024478337,0.6967370441458733,0.7345132743362832,0.6980578211423097,0.8687410354614258,0,0,0,0,0,0
SVC_2D,7,165,186,83,87,0.6737044145873321,0.6735816038336007,0.6737044145873321,0.6914498141263941,0.6736032749962817,0.8652811050415039,0,0,0,0,0,0
SVC_2D,8,161,184,77,99,0.6621880998080614,0.6632983992617686,0.6621880998080614,0.7049808429118773,0.6615571465040471,0.86222243309021,0,0,0,0,0,0
SVC_2D,9,178,166,72,105,0.6602687140115163,0.6665680957001509,0.6602687140115163,0.6974789915966386,0.6607646044535463,0.8840928077697754,0,0,0,0,0,0
SVC_2D,10,188,152,75,106,0.6525911708253359,0.6600693472668284,0.6525911708253359,0.6696035242290749,0.6540263565713572,0.8645458221435547,0,0,0,0,0,0
SVC_2D_retrained,1_retrained,172,193,70,86,0.7005758157389635,0.7011589260422713,0.7005758157389635,0.7338403041825095,0.7002045739459314,0,0,0,0,0,0,0
SVC_3D,1,186,175,88,72,0.6928982725527831,0.6938094405375256,0.6928982725527831,0.6653992395437263,0.692699061643043,0.818248987197876,0,0,0,0,0,0
SVC_3D,2,205,155,88,73,0.690978886756238,0.6904078462091701,0.690978886756238,0.6378600823045267,0.6901171147135491,0.8231894969940186,0,0,0,0,0,0
SVC_3D,3,209,173,79,60,0.7332053742802304,0.7338178535372257,0.7332053742802304,0.6865079365079365,0.7325298573393567,0.8196060657501221,0,0,0,0,0,0
SVC_3D,4,200,180,86,55,0.7293666026871402,0.7333327431338622,0.7293666026871402,0.6766917293233082,0.7287475350688316,0.8099234104156494,0,0,0,0,0,0
SVC_3D,5,202,166,77,76,0.7063339731285988,0.7062609137740989,0.7063339731285988,0.6831275720164609,0.7062948386750003,0.8313744068145752,0,0,0,0,0,0
SVC_3D,6,228,153,73,67,0.7312859884836852,0.7305717404498817,0.7312859884836852,0.6769911504424779,0.7308310824389688,0.8314831256866455,0,0,0,0,0,0
SVC_3D,7,195,177,92,57,0.7140115163147792,0.7191820943752033,0.7140115163147792,0.6579925650557621,0.7133469591504491,0.8179388046264648,0,0,0,0,0,0
SVC_3D,8,185,183,78,75,0.7063339731285988,0.7063678326622809,0.7063339731285988,0.7011494252873564,0.7063274817653682,0.8166744709014893,0,0,0,0,0,0
SVC_3D,9,228,153,85,55,0.7312859884836852,0.7316972601699381,0.7312859884836852,0.6428571428571429,0.7290114582601029,0.7241523265838623,0,0,0,0,0,0
SVC_3D,10,222,160,67,72,0.7332053742802304,0.7339588379803417,0.7332053742802304,0.7048458149779736,0.7335144447629829,0.8241302967071533,0,0,0,0,0,0
SVC_3D_retrained,3_retrained,209,173,79,60,0.7332053742802304,0.7338178535372257,0.7332053742802304,0.6865079365079365,0.7325298573393567,0,0,0,0,0,0,0
SVC_4D,1,187,175,88,71,0.6948176583493282,0.6958416428694038,0.6948176583493282,0.6653992395437263,0.6945881784888921,0.8315672874450684,0,0,0,0,0,0
SVC_4D,2,212,151,92,66,0.6967370441458733,0.6966613952999022,0.6967370441458733,0.6213991769547325,0.6949404841280015,0.8451406955718994,0,0,0,0,0,0
SVC_4D,3,207,174,78,62,0.7312859884836852,0.7316229511284311,0.7312859884836852,0.6904761904761905,0.7307611874906073,0.8329052925109863,0,0,0,0,0,0
SVC_4D,4,196,184,82,59,0.7293666026871402,0.7316695019615217,0.7293666026871402,0.6917293233082706,0.7290912777935425,0.8628363609313965,0,0,0,0,0,0
SVC_4D,5,200,167,76,78,0.7044145873320538,0.7045796738122772,0.7044145873320538,0.6872427983539094,0.7044867474686021,0.8232314586639404,0,0,0,0,0,0
SVC_4D,6,229,153,73,66,0.7332053742802304,0.7324039614952716,0.7332053742802304,0.6769911504424779,0.732671112179905,0.8434407711029053,0,0,0,0,0,0
SVC_4D,7,193,177,92,59,0.710172744721689,0.7147843216486514,0.710172744721689,0.6579925650557621,0.7096084480578361,0.8502366542816162,0,0,0,0,0,0
SVC_4D,8,186,184,77,74,0.710172744721689,0.7102070285603045,0.710172744721689,0.7049808429118773,0.7101663382128798,0.8201375007629395,0,0,0,0,0,0
SVC_4D,9,223,156,82,60,0.727447216890595,0.7270703320292697,0.727447216890595,0.6554621848739496,0.7259422916519631,0.795393705368042,0,0,0,0,0,0
SVC_4D,10,222,160,67,72,0.7332053742802304,0.7339588379803417,0.7332053742802304,0.7048458149779736,0.7335144447629829,0.834129810333252,0,0,0,0,0,0
SVC_4D_retrained,6_retrained,229,153,73,66,0.7332053742802304,0.7324039614952716,0.7332053742802304,0.6769911504424779,0.732671112179905,0,0,0,0,0,0,0
SVC_5D,1,241,156,107,17,0.761996161228407,0.7981352843709506,0.761996161228407,0.5931558935361216,0.7551050972254598,0.7465505599975586,0,0,0,0,0,0
SVC_5D,2,254,138,105,24,0.7523992322456814,0.7748384026860708,0.7523992322456814,0.5679012345679012,0.7433814334828868,0.7456741333007812,0,0,0,0,0,0
SVC_5D,3,251,149,103,18,0.7677543186180422,0.7976390820947649,0.7677543186180422,0.5912698412698413,0.760040584329104,0.7497479915618896,0,0,0,0,0,0
SVC_5D,4,242,141,125,13,0.7351247600767754,0.7901969165259736,0.7351247600767754,0.5300751879699248,0.7236553499021792,0.7477259635925293,0,0,0,0,0,0
SVC_5D,5,258,135,108,20,0.7543186180422264,0.78236540192913,0.7543186180422264,0.5555555555555556,0.7439435467294868,0.7461137771606445,0,0,0,0,0,0
SVC_5D,6,278,126,100,17,0.7754318618042226,0.7986382708071768,0.7754318618042226,0.5575221238938053,0.7640233659639816,0.7602434158325195,0,0,0,0,0,0
SVC_5D,7,245,132,137,7,0.7236084452975048,0.8005302765053486,0.7236084452975048,0.49070631970260226,0.7079121506131955,0.7372932434082031,0,0,0,0,0,0
