Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
SVC_2D,1,265,8,245,1,0.5260115606936416,0.6996234588890148,0.5260115606936416,0.03162055335968379,0.3798181876904587,0.45045018196105957,0,0,0,0,0,0
SVC_2D,2,258,9,251,1,0.5144508670520231,0.7038168459066287,0.5144508670520231,0.03461538461538462,0.36868778098908156,0.4498598575592041,0,0,0,0,0,0
SVC_2D,3,266,34,216,3,0.5780346820809249,0.7286743967002045,0.5780346820809249,0.136,0.48129102252229217,0.4417610168457031,0,0,0,0,0,0
SVC_2D,4,246,3,270,0,0.4797687861271676,0.7519827933862078,0.4797687861271676,0.01098901098901099,0.31747481363773983,0.43848180770874023,0,0,0,0,0,0
SVC_2D,5,25,234,7,252,0.5,0.6417824074074073,0.5,0.970954356846473,0.38603027915403554,0.4330098628997803,0,0,0,0,0,0
SVC_2D,6,39,228,4,247,0.5154440154440154,0.7157439166741492,0.5154440154440154,0.9827586206896551,0.4197693994558179,0.4365200996398926,0,0,0,0,0,0
SVC_2D,7,251,2,265,0,0.48841698841698844,0.7511485738229924,0.48841698841698844,0.00749063670411985,0.3248055392847782,0.43271517753601074,0,0,0,0,0,0
SVC_2D,8,261,7,250,0,0.5173745173745173,0.7534926595591959,0.5173745173745173,0.027237354085603113,0.3670039816412873,0.432452917098999,0,0,0,0,0,0
SVC_2D,9,39,233,7,239,0.525096525096525,0.6837263097395743,0.525096525096525,0.9708333333333333,0.4324412695199212,0.43613505363464355,0,0,0,0,0,0
SVC_2D,10,37,222,6,253,0.5,0.6874418604651162,0.5,0.9736842105263158,0.40240240240240244,0.429257869720459,0,0,0,0,0,0
SVC_2D_retrained,retrain_2,31,245,5,238,0.5317919075144508,0.6906560367857176,0.5317919075144508,0.98,0.4273668324467325,0.5175139904022217,0,0,0,0,0,0
SVC_3D,1,266,74,179,0,0.6551059730250481,0.793838626572276,0.6551059730250481,0.2924901185770751,0.604123302628978,0.3523838520050049,0,0,0,0,0,0
SVC_3D,2,259,73,187,0,0.6396917148362236,0.7907626774497352,0.6396917148362236,0.28076923076923077,0.5863096401037613,0.34937000274658203,0,0,0,0,0,0
SVC_3D,3,269,76,174,0,0.6647398843930635,0.7964221871370972,0.6647398843930635,0.304,0.6162343991001354,0.35534095764160156,0,0,0,0,0,0
SVC_3D,4,246,91,182,0,0.649325626204239,0.798444168332343,0.649325626204239,0.3333333333333333,0.6090032761016105,0.3197908401489258,0,0,0,0,0,0
SVC_3D,5,276,82,159,1,0.6911196911196911,0.7989345746720071,0.6911196911196911,0.34024896265560167,0.6500781144975901,0.3459336757659912,0,0,0,0,0,0
SVC_3D,6,286,77,155,0,0.7007722007722008,0.8059429692082754,0.7007722007722008,0.33189655172413796,0.6576215815408668,0.3512279987335205,0,0,0,0,0,0
SVC_3D,7,251,81,186,0,0.640926640926641,0.793758780028803,0.640926640926641,0.30337078651685395,0.5935049137234382,0.35372090339660645,0,0,0,0,0,0
